"filename", "language", "XML", "JavaScript", "Vue", "CSS", "Properties", "JSON", "Markdown", "Docker", "HTML", "YAML", "comment", "blank", "total"
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddEdgeNode.vue", "Vue", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddImage.vue", "Vue", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 10, 96
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddJob.vue", "Vue", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 10, 133
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddPod.vue", "Vue", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 8, 11, 149
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddService.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 7, 117
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/AddUser.vue", "Vue", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 8, 111
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/DeploymentManagement.vue", "Vue", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 7, 11, 182
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/EdgeNode.vue", "Vue", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 17, 10, 165
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/GPUInfo.vue", "Vue", 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 17, 30, 449
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/Home.vue", "Vue", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 16, 21, 250
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/ImageManagement.vue", "Vue", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 8, 5, 148
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/JobManagement.vue", "Vue", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 13, 7, 167
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/LogManagement.vue", "Vue", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 8, 114
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/Login.vue", "Vue", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 19, 3, 94
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/NPUInfo.vue", "Vue", 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 36, 18, 399
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/NodeInfo.vue", "Vue", 0, 0, 496, 0, 0, 0, 0, 0, 0, 0, 25, 57, 578
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/PodManagement.vue", "Vue", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 9, 19, 199
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/ServiceManagement.vue", "Vue", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 52, 11, 232
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/StorageManagement.vue", "Vue", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 4, 4, 102
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/StreamingComputingTask.vue", "Vue", 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 9, 7, 317
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/TaskflowManagement.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/UpdateDeployment.vue", "Vue", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 14, 115
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/UpdatePod.vue", "Vue", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 6, 10, 105
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/UserManagement.vue", "Vue", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 4, 5, 143
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/VMManagement.vue", "Vue", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 3, 5, 102
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/layout/components/header.vue", "Vue", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/layout/components/index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/layout/components/main.vue", "Vue", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/src/views/layout/components/sidebar.vue", "Vue", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 2, 17, 138
"/Users/wzy/Desktop/项目/SatEdgeManager-FE/satedgemanager-fe/vite.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"Total", "-", 3, 741, 4478, 12, 15, 15503, 14, 10, 11, 36, 378, 482, 21683
